Format,2.0A,
Memory Length,5000,
Trigger Level,0.00V,
Source,CH1,
Label,ACK,
Probe Ratio,1.000E+00,
Vertical Units,V,
Vertical Scale,5.000E-01,
Vertical Position,5.800E-01,
Horizontal Units,S,
Horizontal Scale,2.000E-01,
Horizontal Position,0.000E+00,
Horizontal Mode,Roll Mode,
Sampling Period,4.000E-04,
Firmware,V1.21,
Time,07-Mar-23 20:09:59,
Mode,Detail,
Waveform Data,
-7.900000e-01,3.60e-01,
-7.896000e-01,3.00e-01,
-7.892000e-01,3.20e-01,
-7.888000e-01,2.80e-01,
-7.884000e-01,2.80e-01,
-7.880000e-01,2.40e-01,
-7.876000e-01,2.60e-01,
-7.872000e-01,2.20e-01,
-7.868000e-01,2.40e-01,
-7.864000e-01,1.80e-01,
-7.860000e-01,2.00e-01,
-7.856000e-01,1.60e-01,
-7.852000e-01,1.80e-01,
-7.848000e-01,1.40e-01,
-7.844000e-01,1.60e-01,
-7.840000e-01,1.00e-01,
-7.836000e-01,1.20e-01,
-7.832000e-01,8.00e-02,
-7.828000e-01,1.00e-01,
-7.824000e-01,8.00e-02,
-7.820000e-01,4.00e-02,
-7.816000e-01,6.00e-02,
-7.812000e-01,2.00e-02,
-7.808000e-01,2.00e-02,
-7.804000e-01,-2.00e-02,
-7.800000e-01,0.00e+00,
-7.796000e-01,-2.00e-02,
-7.792000e-01,-6.00e-02,
-7.788000e-01,-4.00e-02,
-7.784000e-01,-8.00e-02,
-7.780000e-01,-6.00e-02,
-7.776000e-01,-1.00e-01,
-7.772000e-01,-8.00e-02,
-7.768000e-01,-1.20e-01,
-7.764000e-01,-1.00e-01,
-7.760000e-01,-1.40e-01,
-7.756000e-01,-1.20e-01,
-7.752000e-01,-1.60e-01,
-7.748000e-01,-1.40e-01,
-7.744000e-01,-1.80e-01,
-7.740000e-01,-1.60e-01,
-7.736000e-01,-2.00e-01,
-7.732000e-01,-1.80e-01,
-7.728000e-01,-2.20e-01,
-7.724000e-01,-1.80e-01,
-7.720000e-01,-2.20e-01,
-7.716000e-01,-2.00e-01,
-7.712000e-01,-2.40e-01,
-7.708000e-01,-2.00e-01,
-7.704000e-01,-2.20e-01,
-7.700000e-01,-2.60e-01,
-7.696000e-01,-2.20e-01,
-7.692000e-01,-2.60e-01,
-7.688000e-01,-2.40e-01,
-7.684000e-01,-2.60e-01,
-7.680000e-01,-2.40e-01,
-7.676000e-01,-2.80e-01,
-7.672000e-01,-2.40e-01,
-7.668000e-01,-2.40e-01,
-7.664000e-01,-2.80e-01,
-7.660000e-01,-2.60e-01,
-7.656000e-01,-2.80e-01,
-7.652000e-01,-2.40e-01,
-7.648000e-01,-2.80e-01,
-7.644000e-01,-2.40e-01,
-7.640000e-01,-2.40e-01,
-7.636000e-01,-2.80e-01,
-7.632000e-01,-2.40e-01,
-7.628000e-01,-2.60e-01,
-7.624000e-01,-2.40e-01,
-7.620000e-01,-2.20e-01,
-7.616000e-01,-2.60e-01,
-7.612000e-01,-2.20e-01,
-7.608000e-01,-2.60e-01,
-7.604000e-01,-2.00e-01,
-7.600000e-01,-2.40e-01,
-7.596000e-01,-2.00e-01,
-7.592000e-01,-2.40e-01,
-7.588000e-01,-1.80e-01,
